CASE,Group,Method,Rule_Applied,Confidence,Score_G1,Score_G2,Score_G3,Score_G4,word_count,url_count,cited_refs,fonti_refs,he_keywords,trivial_answers,is_english,report_format,copy_paste,Manual_Notes,Group_Label
61,1,Hard rule,RULE C: 3+ trivial answers (gave up),HIGH,-,-,-,-,596,0,0,0,4,4,0,0,0,"Uses ""chi è / cosa e come fa"" from Ch4; Q3–Q6 answered as ""3"",""4"",""5"",""6""",Knowledge Learning (Textbook)
62,1,Soft score,Margin=1 over runner-up,MEDIUM,3,2,0,0,575,0,0,0,1,0,0,0,0,"Digital marketing focus; Q5: ""Persone. Eliminare fame"" (off-topic SDG copy)",Knowledge Learning (Textbook)
63,2,Hard rule,RULE B: [n] citations or fonti_refs >= 3,HIGH,-,-,-,-,2080,0,0,6,10,0,0,0,0,"""secondo il modello descritto nei documenti""; systematic HE; no URLs",Information Extraction (NotebookLM)
64,2,Soft score,Margin=2 over runner-up,MEDIUM,2,4,1,1,517,0,0,0,0,0,0,0,0,"Full analysis of ""Osacuca"" (real Calabrian company); ""Secondo me""",Information Extraction (NotebookLM)
65,2,Soft score,Margin=1 over runner-up,MEDIUM,0,3,2,2,840,0,0,0,0,0,0,0,0,Well-structured professional Italian; no HE jargon; no URLs,Information Extraction (NotebookLM)
66,2,Hard rule,RULE B: [n] citations or fonti_refs >= 3,HIGH,-,-,-,-,1949,0,0,8,7,0,0,0,0,"""Sebbene le fonti fornite non menzionino..."" — transparent about source limits",Information Extraction (NotebookLM)
68,1,Soft score,Margin=0 over runner-up,MEDIUM,2,2,1,1,308,0,0,0,0,0,0,0,0,Short personal examples (sarta; fattoria Pupo in Sila); no HE/URLs,Knowledge Learning (Textbook)
69,1,Soft score,Margin=0 over runner-up,MEDIUM,2,2,1,1,265,0,0,0,0,0,0,0,0,"Concise balanced; informally mentions ""armonica"" once; no URLs",Knowledge Learning (Textbook)
70,1,Soft score,Margin=3 over runner-up,HIGH,5,2,0,-1,423,0,0,0,1,1,0,0,0,"Cites Schumpeter from chapter; Q6 answered as "".""; numbered 1–6",Knowledge Learning (Textbook)
71,2,Soft score,Margin=1 over runner-up,MEDIUM,0,3,2,2,636,0,0,0,0,0,0,0,0,"Invents ""Craft Passport"" concept; ""la via degli artigiani""; creative",Information Extraction (NotebookLM)
72,2,Hard rule,RULE B: [n] citations or fonti_refs >= 3,HIGH,-,-,-,-,2477,0,20,10,12,0,0,0,0,"Numbered [1][2][3] refs AND ### headers; ""secondo le fonti""; full HE",Information Extraction (NotebookLM)
74,3,Hard rule,RULE A: URL found in text,HIGH,-,-,-,-,875,5,0,0,1,0,0,0,0,"Cites servizimultimediali.net, veniceoriginal.it, asvis.it with pasted text",Knowledge Discovery (Web Search)
75,1,Soft score,Margin=1 over runner-up,MEDIUM,4,3,0,0,422,0,0,0,2,0,0,0,0,"""homo sentimentalis"" (from chapter); Calabria transport/spopolamento analysis",Knowledge Learning (Textbook)
77,1,Soft score,Margin=3 over runner-up,HIGH,6,3,0,-1,283,0,0,0,2,2,0,0,0,"""Imprenditore Armonico"", ""custode del creato""; Q5+Q6 answered as "".""",Knowledge Learning (Textbook)
78,2,Soft score,Margin=4 over runner-up,HIGH,1,5,1,1,1143,0,0,0,1,0,0,0,0,"Quotes ""Venegoni"" (external); succession planning (not in chapter)",Information Extraction (NotebookLM)
79,4,Hard rule,RULE D: English text or consulting report format,HIGH,-,-,-,-,46,0,0,0,0,0,1,0,0,Written in English; single-line answers; no HE/URLs,Interaction (LLM)
80,1,Soft score,Margin=0 over runner-up,MEDIUM,2,2,1,1,214,0,0,0,0,0,0,0,0,"References ""Feras"" company; short personal opinions; no HE/URLs",Knowledge Learning (Textbook)
82,1,Soft score,Margin=0 over runner-up,MEDIUM,2,2,1,1,533,0,0,0,0,0,0,0,0,Well-balanced professional Italian; no HE/URL references; general synthesis,Knowledge Learning (Textbook)
84,1,Hard rule,RULE C: 3+ trivial answers (gave up),HIGH,-,-,-,-,11,0,0,0,0,6,0,0,0,"All 6 answers are literally single numbers: ""1"",""2"",""4"",""4"",""5"",""6""",Knowledge Learning (Textbook)
85,3,Hard rule,RULE A: URL found in text,HIGH,-,-,-,-,11,7,0,0,0,0,0,0,0,All 6 answers are ONLY URLs — pure link list,Knowledge Discovery (Web Search)
87,2,Hard rule,RULE B: [n] citations or fonti_refs >= 3,HIGH,-,-,-,-,2265,0,0,11,12,0,0,0,0,"""double nexus"",""tre punte del diamante"",""le fonti""; systematic HE coverage",Information Extraction (NotebookLM)
